Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Ackr2,ENSMUSG00000044534,1891697,O08707,Atypical chemokine receptor 2,CytoChemoRecept,CCRecept,,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines including CCL2, CCL3, CCL3L1, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL17, CCL22, CCL23, CCL24, SCYA2/MCP-1, SCY3/MIP-1-alpha, SCYA5/RANTES and SCYA7/MCP-3. Upon active ligand stimulation, activates a beta-arrestin 1 (ARRB1)-dependent, G protein-independent signaling pathway that results in the phosphorylation of the actin-binding protein cofilin (CFL1) through a RAC1-PAK1-LIMK1 signaling pathway. Activation of this pathway results in up-regulation of ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation. By scavenging chemokines in tissues, on the surfaces of lymphatic vessels, and in placenta, plays an essential role in the resolution (termination) of the inflammatory response and in the regulation of adaptive immune responses. Plays a major role in the immune silencing of macrophages during the resolution of inflammation. Acts as a regulator of inflammatory leukocyte interactions with lymphatic endothelial cells (LECs) and is required for immature/mature dendritic cells discrimination by LECs.",cell adhesion molecule(PC00069),"integral component of membrane,integral component of plasma membrane,cytosol,nucleoplasm,membrane,external side of plasma membrane,plasma membrane,intracellular membrane-bounded organelle,endosome,early endosome,recycling endosome,nuclear membrane,actin filament","G protein-coupled receptor activity,chemokine receptor activity,scavenger receptor activity,C-C chemokine binding,protein binding,C-C chemokine receptor activity",NA,NA,NA
Ackr3,ENSMUSG00000044337,109562,P56485,Atypical chemokine receptor 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,nucleus,cytoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,intracellular membrane-bounded organelle,endosome,early endosome,recycling endosome,clathrin-coated pit","G protein-coupled receptor activity,coreceptor activity,chemokine binding,scavenger receptor activity,C-C chemokine receptor activity,C-C chemokine binding,C-X-C chemokine receptor activity,C-X-C chemokine binding",receptor,NA,NA
Ackr4,ENSMUSG00000079355,2181676,Q924I3,Atypical chemokine receptor 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,endosome,early endosome,recycling endosome","G protein-coupled receptor activity,chemokine receptor activity,scavenger receptor activity,chemokine binding,C-C chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
C3ar1,ENSMUSG00000040552,1097680,O09047,C3a anaphylatoxin chemotactic receptor,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane","G protein-coupled receptor activity,complement component C3a receptor activity,complement receptor activity,complement component C3a binding",NA,NA,NA
C5ar1,ENSMUSG00000049130,88232,P30993,C5a anaphylatoxin chemotactic receptor 1,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane,cell surface,cytoplasmic vesicle,basolateral plasma membrane,apical part of cell","G protein-coupled receptor activity,complement receptor activity,complement component C5a binding,complement component C5a receptor activity",NA,NA,NA
C5ar2,ENSMUSG00000074361,2442013,Q8BW93,C5a anaphylatoxin chemotactic receptor 2,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane,apical part of cell,basal plasma membrane","G protein-coupled receptor activity,complement receptor activity,complement component C5a receptor activity",NA,NA,NA
Ccr1,ENSMUSG00000025804,104618,P51675,C-C chemokine receptor type 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm,neuronal cell body","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,phosphatidylinositol phospholipase C activity,C-C chemokine binding,chemokine (C-C motif) ligand 7 binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr10,ENSMUSG00000044052,1096320,Q9JL21,C-C chemokine receptor type 10,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface,endoplasmic reticulum","G protein-coupled receptor activity,C-C chemokine receptor activity,protein binding,chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
Ccr1l1,ENSMUSG00000064039,104617,P51676,C-C chemokine receptor 1-like protein 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,phosphatidylinositol phospholipase C activity,C-C chemokine binding,chemokine (C-C motif) ligand 7 binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr2,ENSMUSG00000049103,106185,P51683,C-C chemokine receptor type 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,cytosol,membrane,external side of plasma membrane,plasma membrane,perinuclear region of cytoplasm,cytoplasm,neuronal cell body,dendrite,perikaryon,fibrillar center,primary dendrite","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,identical protein binding,C-C chemokine binding,cytokine binding,chemokine (C-C motif) ligand 5 binding,chemokine (C-C motif) ligand 2 binding,chemokine (C-C motif) ligand 12 binding,chemokine (C-C motif) ligand 7 binding",receptor,NA,NA
Ccr3,ENSMUSG00000035448,104616,P51678,Probable C-C chemokine receptor type 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,extracellular space,plasma membrane,cytoplasm,endosome","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr4,ENSMUSG00000047898,107824,P51680,C-C chemokine receptor type 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,neuronal cell body","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
Ccr5,ENSMUSG00000079227,107182,P51682,C-C chemokine receptor type 5,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,cytoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,endosome","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,identical protein binding,protein kinase binding,actin binding,C-C chemokine binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr6,ENSMUSG00000040899,1333797,O54689,C-C chemokine receptor type 6,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface,sperm midpiece,sperm principal piece,sperm flagellum,sperm plasma membrane","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr7,ENSMUSG00000037944,103011,P47774,C-C chemokine receptor type 7,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,mitochondrion,membrane,external side of plasma membrane,plasma membrane,cell surface","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding,chemokine (C-C motif) ligand 19 binding,chemokine (C-C motif) ligand 21 binding,C-C motif chemokine 19 receptor activity,C-C motif chemokine 21 receptor activity",receptor,NA,NA
Ccr8,ENSMUSG00000042262,1201402,P56484,C-C chemokine receptor type 8,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr9,ENSMUSG00000029530,1341902,Q9WUT7,C-C chemokine receptor type 9,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccrl2,ENSMUSG00000043953,1920904,O35457,C-C chemokine receptor-like 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm","G protein-coupled receptor activity,chemokine receptor activity,chemokine receptor binding,C-C chemokine receptor activity,C-C chemokine binding,CCR chemokine receptor binding",NA,NA,NA
Cd27,ENSMUSG00000030336,88326,P41272,CD27 antigen,CytoChemoRecept,CCRecept,,NA,NA,"membrane,external side of plasma membrane,cell surface","protein binding,transmembrane signaling receptor activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process",receptor,NA,NA
Csf1r,ENSMUSG00000024621,1339758,P09581,Macrophage colony-stimulating factor 1 receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytoplasm,nucleoplasm,membrane,plasma membrane,intracellular membrane-bounded organelle,cell surface,cell body,perikaryon,receptor complex,CSF1-CSF1R complex","ATP binding,protein kinase activity,transmembrane receptor protein tyrosine kinase activity,protein tyrosine kinase activity,cytokine binding,protein binding,transferase activity,nucleotide binding,kinase activity,protein phosphatase binding,protein homodimerization activity,macrophage colony-stimulating factor receptor activity",receptor,NA,NA
Csf2rb,ENSMUSG00000071713,1339759,P26955,Cytokine receptor common subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,external side of plasma membrane,granulocyte macrophage colony-stimulating factor receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Csf2rb2,ENSMUSG00000071714,1339760,P26954,Interleukin-3 receptor class 2 subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,granulocyte macrophage colony-stimulating factor receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Csf3r,ENSMUSG00000028859,1339755,P40223,Granulocyte colony-stimulating factor receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex,endocytic vesicle membrane","protein binding,cytokine receptor activity,cytokine binding,granulocyte colony-stimulating factor binding",receptor,NA,NA
Cx3cr1,ENSMUSG00000052336,1333815,Q9Z0D9,CX3C chemokine receptor 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,perinuclear region of cytoplasm,cell surface,neuron projection,neuronal cell body membrane,dendritic tree","G protein-coupled receptor activity,C-X3-C chemokine receptor activity,CX3C chemokine receptor binding,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding,cytokine receptor activity,C-X3-C chemokine binding",receptor,NA,NA
Cxcr1,ENSMUSG00000048480,2448715,Q810W6,C-X-C chemokine receptor type 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","C-X-C chemokine receptor activity,G protein-coupled receptor activity,C-C chemokine receptor activity,C-C chemokine binding,interleukin-8 receptor activity,interleukin-8 binding",receptor,NA,NA
Cxcr2,ENSMUSG00000026180,105303,P35343,C-X-C chemokine receptor type 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,nucleoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,microtubule cytoskeleton,mitotic spindle,mast cell granule","C-X-C chemokine receptor activity,interleukin-8 binding,G protein-coupled receptor activity,protein binding,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding,interleukin-8 receptor activity",receptor,NA,NA
Cxcr3,ENSMUSG00000050232,1277207,O88410,C-X-C chemokine receptor type 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface","C-X-C chemokine receptor activity,G protein-coupled receptor activity,chemokine receptor activity,signaling receptor activity,C-C chemokine receptor activity,C-C chemokine binding,chemokine binding,C-X-C chemokine binding",receptor,NA,NA
Cxcr4,ENSMUSG00000045382,109563,P70658,C-X-C chemokine receptor type 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,plasma membrane,lysosome,anchoring junction,endosome,early endosome,late endosome,nucleus,cytoplasm,cytosol,cell surface,extracellular matrix,cell leading edge,cytoplasmic vesicle,protein-containing complex","G protein-coupled receptor activity,chemokine receptor activity,cytokine binding,actin binding,C-C chemokine binding,ubiquitin protein ligase binding,myosin light chain binding,small molecule binding,C-X-C motif chemokine 12 receptor activity,ubiquitin binding",receptor,NA,NA
