"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSGALP00010000035","ENSGALG00010000045","TP53BP1","tumor protein p53 binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A8V0X611]","","Chicken","AvianImmunome"
"ENSGALP00010000048","ENSGALG00010000049","FES","FES proto-onco, tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A8V0X6E7]","","Chicken","AvianImmunome"
"ENSGALP00010000056","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000057","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000058","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000059","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000060","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000061","ENSGALG00010000054","VPS33B","VPS33B late endosome and lysosome associated [Source:NCBI gene (formerly Entrezgene);Acc:425858]","","Chicken","AvianImmunome"
"ENSGALP00010000103","ENSGALG00010000092","INPPL1","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]","immune system process","Chicken","biomartGO"
"ENSGALP00010000104","ENSGALG00010000092","INPPL1","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]","immune system process","Chicken","biomartGO"
"ENSGALP00010000105","ENSGALG00010000092","INPPL1","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]","immune system process","Chicken","biomartGO"
"ENSGALP00010000192","ENSGALG00010000180","","","antigen processing and presentation of peptide antigen via MHC class I; immune response; immune system process","Chicken","biomartGO"
"ENSGALP00010000193","ENSGALG00010000180","","","antigen processing and presentation of peptide antigen via MHC class I; immune system process","Chicken","biomartGO"
"ENSGALP00010000194","ENSGALG00010000185","","","antigen processing and presentation of peptide antigen via MHC class I; immune response; immune system process","Chicken","biomartGO"
"ENSGALP00010000197","ENSGALG00010000186","THOC5","THO complex 5 [Source:NCBI gene (formerly Entrezgene);Acc:417019]","","Chicken","AvianImmunome"
"ENSGALP00010000198","ENSGALG00010000186","THOC5","THO complex 5 [Source:NCBI gene (formerly Entrezgene);Acc:417019]","","Chicken","AvianImmunome"
"ENSGALP00010000199","ENSGALG00010000186","THOC5","THO complex 5 [Source:NCBI gene (formerly Entrezgene);Acc:417019]","","Chicken","AvianImmunome"
"ENSGALP00010000235","ENSGALG00010000225","LIF","LIF interleukin 6 family cytokine [Source:UniProtKB Gene Name;Acc:A0A8V0X6M3]","immune response","Chicken","biomartGO"
"ENSGALP00010000411","ENSGALG00010000387","DTX1","deltex E3 ubiquitin ligase 1 [Source:UniProtKB Gene Name;Acc:A0A8V0X556]","","Chicken","AvianImmunome"
"ENSGALP00010000441","ENSGALG00010000423","CARD8","caspase recruitment domain family member 8 [Source:UniProtKB Gene Name;Acc:A0A8V0X778]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010000442","ENSGALG00010000423","CARD8","caspase recruitment domain family member 8 [Source:UniProtKB Gene Name;Acc:A0A8V0X778]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010000443","ENSGALG00010000423","CARD8","caspase recruitment domain family member 8 [Source:UniProtKB Gene Name;Acc:A0A8V0X778]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010000444","ENSGALG00010000423","CARD8","caspase recruitment domain family member 8 [Source:UniProtKB Gene Name;Acc:A0A8V0X778]","activation of innate immune response; immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010000519","ENSGALG00010000468","TESC","tescalcin [Source:NCBI gene (formerly Entrezgene);Acc:771113]","","Chicken","AvianImmunome"
"ENSGALP00010000520","ENSGALG00010000468","TESC","tescalcin [Source:NCBI gene (formerly Entrezgene);Acc:771113]","","Chicken","AvianImmunome"
"ENSGALP00010000605","ENSGALG00010000584","RBM14","RNA binding motif protein 14 [Source:UniProtKB Gene Name;Acc:A0A8V0X366]","activation of innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000790","ENSGALG00010000687","IKZF1","IKAROS family zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:395974]","immune system process","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000791","ENSGALG00010000687","IKZF1","IKAROS family zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:395974]","lymphocyte differentiation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000793","ENSGALG00010000687","IKZF1","IKAROS family zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:395974]","","Chicken","AvianImmunome"
"ENSGALP00010000795","ENSGALG00010000687","IKZF1","IKAROS family zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:395974]","immune system process","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000796","ENSGALG00010000687","IKZF1","IKAROS family zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:395974]","immune system process","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000860","ENSGALG00010000726","POU4F1","POU class 4 homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A1D5P1G4]","","Chicken","AvianImmunome"
"ENSGALP00010000864","ENSGALG00010000729","EDNRB","endothelin receptor type B [Source:NCBI gene (formerly Entrezgene);Acc:408082]","macrophage chemotaxis","Chicken","biomartGO"
"ENSGALP00010000869","ENSGALG00010000728","FAM105B","OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]","innate immune response","Chicken","biomartGO"
"ENSGALP00010000932","ENSGALG00010000791","ACOD1","aconitate decarboxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:418812]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000933","ENSGALG00010000791","ACOD1","aconitate decarboxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:418812]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000934","ENSGALG00010000791","ACOD1","aconitate decarboxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:418812]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000935","ENSGALG00010000791","ACOD1","aconitate decarboxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:418812]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010000936","ENSGALG00010000791","ACOD1","aconitate decarboxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:418812]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010001023","ENSGALG00010000823","PIBF1","progesterone immunomodulatory binding factor 1 [Source:UniProtKB Gene Name;Acc:A0A8V0X967]","","Chicken","AvianImmunome"
"ENSGALP00010001026","ENSGALG00010000823","PIBF1","progesterone immunomodulatory binding factor 1 [Source:UniProtKB Gene Name;Acc:A0A8V0X967]","","Chicken","AvianImmunome"
