ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000000129,ENSMUSG00000000127,Fer,FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917],ATP binding; Fc-epsilon receptor signaling pathway; Kit signaling pathway; Sertoli cell development; actin cytoskeleton; actin cytoskeleton organization; adherens junction; adherens junction assembly; anchoring junction; cell adhesion; cell cortex; cell junction; cell projection; cell-cell adhesion mediated by cadherin; cellular response to macrophage colony-stimulating factor stimulus; cellular response to reactive oxygen species; chemotaxis; chromatin; cytokine-mediated signaling pathway; cytoplasm; cytoplasmic side of plasma membrane; cytoskeleton; cytosol; diapedesis; epidermal growth factor receptor binding; extracellular matrix-cell signaling; germ cell development; insulin receptor signaling pathway; kinase activity; lamellipodium; lipid binding; membrane; microtubule cytoskeleton; microtubule cytoskeleton organization; negative regulation of mast cell activation involved in immune response; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; nucleus; peptidyl-tyrosine phosphorylation; plasma membrane; platelet-derived growth factor receptor signaling pathway; positive regulation of NF-kappaB transcription factor activity; positive regulation of actin filament polymerization; positive regulation of cell migration; positive regulation of cell population proliferation; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; protein binding; protein kinase activity; protein phosphatase 1 binding; protein phosphorylation; protein tyrosine kinase activity; protein-containing complex; regulation of epidermal growth factor receptor signaling pathway; regulation of protein phosphorylation; response to lipopolysaccharide; seminiferous tubule development; signal transduction; substrate adhesion-dependent cell spreading; transferase activity,Mouse
ENSMUSP00000000137,ENSMUSG00000020152,Actr2,actin related protein 2 [Source:MGI Symbol;Acc:MGI:1913963],ATP binding; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex; actin binding; actin cap; actin cytoskeleton organization; actin filament binding; asymmetric cell division; cell cortex; cell projection; cellular response to type II interferon; cilium assembly; cytoplasm; cytoskeleton; cytosol; cytosolic transport; establishment or maintenance of cell polarity; meiotic cell cycle; meiotic chromosome movement towards spindle pole; meiotic cytokinesis; nucleotide binding; nucleus; positive regulation of double-strand break repair via homologous recombination; positive regulation of transcription by RNA polymerase II; protein binding; site of double-strand break; spindle localization; structural constituent of cytoskeleton,Mouse
ENSMUSP00000000161,ENSMUSG00000000157,Itgb2l,integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979],amyloid-beta binding; cell adhesion mediated by integrin; cell-matrix adhesion; focal adhesion; inflammatory response; integrin binding; integrin complex; integrin-mediated signaling pathway; leukocyte cell-cell adhesion; membrane; neutrophil chemotaxis; plasma membrane; protein kinase binding; secretory granule,Mouse
ENSMUSP00000000193,ENSMUSG00000035385,Ccl2,C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259],"C-fiber; CCR chemokine receptor binding; CCR2 chemokine receptor binding; G protein-coupled receptor binding; angiogenesis; animal organ regeneration; antimicrobial humoral immune response mediated by antimicrobial peptide; astrocyte cell migration; axon terminus; cellular response to ATP; cellular response to estradiol stimulus; cellular response to fatty acid; cellular response to glucose stimulus; cellular response to high density lipoprotein particle stimulus; cellular response to interleukin-1; cellular response to interleukin-6; cellular response to lipopolysaccharide; cellular response to lipoprotein particle stimulus; cellular response to macrophage colony-stimulating factor stimulus; cellular response to retinoic acid; cellular response to tumor necrosis factor; cellular response to type II interferon; cellular response to xenobiotic stimulus; chemoattractant activity; chemokine (C-C motif) ligand 2 signaling pathway; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; cytokine-mediated signaling pathway; dendrite; endocytic vesicle; energy homeostasis; eosinophil chemotaxis; extracellular region; extracellular space; glial cell migration; helper T cell extravasation; heparin binding; immune response; inflammatory response; intracellular calcium ion homeostasis; leukocyte migration involved in inflammatory response; lymphocyte chemotaxis; macrophage chemotaxis; mammary gland involution; maternal process involved in female pregnancy; maternal process involved in parturition; monocyte homeostasis; negative regulation of angiogenesis; neuronal cell body; neutrophil chemotaxis; perikaryon; perinuclear region of cytoplasm; positive chemotaxis; positive regulation of T cell activation; positive regulation of apoptotic cell clearance; positive regulation of cell adhesion; positive regulation of cell migration; positive regulation of cell-cell adhesion; positive regulation of cellular extravasation; positive regulation of collagen biosynthetic process; positive regulation of endothelial cell proliferation; positive regulation of gene expression; positive regulation of glutamate receptor signaling pathway; positive regulation of immune complex clearance by monocytes and macrophages; positive regulation of leukocyte mediated cytotoxicity; positive regulation of leukocyte migration; positive regulation of monocyte chemotaxis; positive regulation of protein targeting to membrane; positive regulation of synaptic transmission; positive regulation of synaptic transmission, glutamatergic; positive regulation of wound healing; protein binding; regulation of vascular endothelial growth factor production; response to activity; response to amino acid; response to bacterium; response to cyclosporin A; response to ethanol; response to glucocorticoid; response to hypoxia; response to isolation stress; response to lipopolysaccharide; response to mechanical stimulus; response to progesterone; response to tumor necrosis factor; response to vitamin B3; response to wounding; response to xenobiotic stimulus; sensory perception of pain; transforming growth factor beta receptor signaling pathway; vascular endothelial growth factor receptor signaling pathway",Mouse
ENSMUSP00000000194,ENSMUSG00000035352,Ccl12,C-C motif chemokine ligand 12 [Source:MGI Symbol;Acc:MGI:108224],CCR chemokine receptor binding; CCR2 chemokine receptor binding; angiogenesis; antimicrobial humoral immune response mediated by antimicrobial peptide; cell chemotaxis; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; eosinophil chemotaxis; extracellular region; extracellular space; immune response; inflammatory response; positive regulation of cell migration; signal transduction,Mouse
ENSMUSP00000000284,ENSMUSG00000000275,Trim25,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749],cytoplasm; defense response to virus; immune system process; innate immune response; ligase activity; metal ion binding; nucleus; protein binding; transferase activity; zinc ion binding,Mouse
ENSMUSP00000000299,ENSMUSG00000000290,Itgb2,integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611],cell adhesion; cell adhesion molecule binding; cell-cell adhesion; cellular extravasation; endothelial cell migration; integrin alphaM-beta2 complex; integrin-mediated signaling pathway; leukocyte activation; leukocyte cell-cell adhesion; leukocyte migration involved in inflammatory response; membrane; membrane raft; neutrophil chemotaxis; phagocytosis; plasma membrane; positive regulation of angiogenesis; positive regulation of nitric oxide biosynthetic process; protein-containing complex binding,Mouse
ENSMUSP00000000342,ENSMUSG00000020676,Ccl11,C-C motif chemokine ligand 11 [Source:MGI Symbol;Acc:MGI:103576],CCR chemokine receptor binding; CCR3 chemokine receptor binding; actin filament organization; antimicrobial humoral immune response mediated by antimicrobial peptide; branching involved in mammary gland duct morphogenesis; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; cytoskeleton organization; eosinophil chemotaxis; extracellular region; extracellular space; immune response; inflammatory response; learning or memory; mammary duct terminal end bud growth; negative regulation of neurogenesis; positive regulation of actin filament polymerization; positive regulation of angiogenesis; positive regulation of cell migration; positive regulation of endothelial cell proliferation; protein dimerization activity; receptor ligand activity; regulation of cell shape; response to interleukin-13; response to interleukin-4,Mouse
ENSMUSP00000000451,ENSMUSG00000000441,Raf1,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847],ATP binding; ERBB2-ERBB3 signaling pathway; Golgi apparatus; MAP kinase kinase kinase activity; MAPK cascade; Schwann cell development; cell differentiation; cytoplasm; cytosol; death-inducing signaling complex assembly; enzyme binding; face development; identical protein binding; insulin receptor signaling pathway; insulin secretion involved in cellular response to glucose stimulus; insulin-like growth factor receptor signaling pathway; intermediate filament cytoskeleton organization; intracellular glucose homeostasis; intracellular signal transduction; kinase activity; membrane; metal ion binding; mitochondrion; myelination; negative regulation of apoptotic process; negative regulation of cell population proliferation; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of protein-containing complex assembly; neurotrophin TRK receptor signaling pathway; nucleotide binding; nucleus; plasma membrane; positive regulation of MAPK cascade; positive regulation of transcription by RNA polymerase II; protein binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; pseudopodium; response to muscle stretch; signal transduction; small GTPase binding; somatic stem cell population maintenance; thymus development; thyroid gland development; transferase activity; type B pancreatic cell proliferation; zinc ion binding,Mouse
ENSMUSP00000000727,ENSMUSG00000000711,Rab5b,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]",G protein activity; GDP binding; GTP binding; GTP-dependent protein binding; GTPase activity; antigen processing and presentation; early endosome; early endosome membrane; endocytic vesicle; endocytosis; endomembrane system; endosomal transport; endosome; endosome organization; hydrolase activity; intracellular protein transport; membrane; metal ion binding; nucleotide binding; plasma membrane; plasma membrane to endosome transport; protein binding; protein transport; regulation of endocytosis; synaptic vesicle membrane,Mouse
