"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000000002","ENSTGUG00000000003","EGR1","early growth response 1 [Source:NCBI gene (formerly Entrezgene);Acc:100008579]","T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000064","ENSTGUG00000000063","SPPL2B","signal peptide peptidase like 2B [Source:UniProtKB Gene Name;Acc:H0YP67]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000111","ENSTGUG00000000103","TRIM14","tripartite motif containing 14 [Source:UniProtKB Gene Name;Acc:H0YPB4]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000138","ENSTGUG00000000128","CADM1","cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A674GJ43]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000149","ENSTGUG00000000144","ELP6","elongator acetyltransferase complex subunit 6 [Source:UniProtKB Gene Name;Acc:H0YPF1]","inflammasome-mediated signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000000167","ENSTGUG00000000163","CACTIN","cactin, spliceosome C complex subunit [Source:UniProtKB Gene Name;Acc:H0YPG9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000172","ENSTGUG00000000164","SETD2","SET domain containing 2, histone lysine methyltransferase [Source:UniProtKB Gene Name;Acc:H0YPH4]","immune system process; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000211","ENSTGUG00000000209","IL12B","interleukin 12B [Source:UniProtKB Gene Name;Acc:H0YPL2]","T cell proliferation; T-helper 1 cell differentiation; T-helper cell differentiation; natural killer cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000213","ENSTGUG00000000208","TCF3","transcription factor 3 [Source:UniProtKB Gene Name;Acc:A0A674H1R9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000218","ENSTGUG00000000212","FBXO38","F-box protein 38 [Source:UniProtKB Gene Name;Acc:A0A674HVA8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000243","ENSTGUG00000000240","","","immune system process; positive thymic T cell selection","ZebraFinch","biomartGO"
"ENSTGUP00000000259","ENSTGUG00000000254","CYP8B1","cytochrome P450 family 8 subfamily B member 1 [Source:UniProtKB Gene Name;Acc:H0YPQ9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000262","ENSTGUG00000000252","PCYOX1L","prenylcysteine oxidase 1 like [Source:UniProtKB Gene Name;Acc:H0YPR2]","neutrophil-mediated killing of bacterium","ZebraFinch","biomartGO"
"ENSTGUP00000000268","ENSTGUG00000000255","DRD2","dopamine receptor D2 [Source:UniProtKB Gene Name;Acc:A0A674GIQ6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000284","ENSTGUG00000000278","MKNK2","MAPK interacting serine/threonine kinase 2 [Source:UniProtKB Gene Name;Acc:H0YPT4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000297","ENSTGUG00000000284","AP3D1","adaptor related protein complex 3 subunit delta 1 [Source:UniProtKB Gene Name;Acc:H0YPU7]","antigen processing and presentation; antigen processing and presentation, exogenous lipid antigen via MHC class Ib","ZebraFinch","biomartGO"
"ENSTGUP00000000298","ENSTGUG00000000289","STK10","serine/threonine kinase 10 [Source:UniProtKB Gene Name;Acc:A0A674GS92]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000302","ENSTGUG00000000299","DUSP1","dual specificity phosphatase 1 [Source:UniProtKB Gene Name;Acc:H0YPV2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000303","ENSTGUG00000000297","IL18","interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]","immune response; natural killer cell activation","ZebraFinch","biomartGO; AvianImmunome"
